t_stamp,Extruder3/BETA_DIA_EXT_SCLD
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179130003
1/3/2019 13:02,0.179130003
1/3/2019 13:02,0.174329996
1/3/2019 13:02,0.174329996
1/3/2019 13:02,0.179130003
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179130003
1/3/2019 13:02,0.179130003
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179130003
1/3/2019 13:02,0.179130003
1/3/2019 13:02,0.174329996
1/3/2019 13:02,0.174329996
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.174429998
1/3/2019 13:02,0.174329996
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.174429998
1/3/2019 13:02,0.174329996
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179130003
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.174429998
1/3/2019 13:02,0.1743
1/3/2019 13:02,0.1743
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.174329996
1/3/2019 13:02,0.174429998
1/3/2019 13:02,0.174429998
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.174329996
1/3/2019 13:02,0.174329996
1/3/2019 13:02,0.174329996
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.174329996
1/3/2019 13:02,0.174329996
1/3/2019 13:02,0.179130003
1/3/2019 13:02,0.179130003
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179030001
1/3/2019 13:02,0.179030001
1/3/2019 13:03,0.179030001
1/3/2019 13:03,0.179030001
1/3/2019 13:03,0.179030001
1/3/2019 13:03,0.179330006
1/3/2019 13:03,0.174329996
1/3/2019 13:03,0.174329996
1/3/2019 13:03,0.179130003
1/3/2019 13:03,0.179130003
1/3/2019 13:03,0.179030001
1/3/2019 13:03,0.179030001
1/3/2019 13:03,0.179030001
1/3/2019 13:03,0.179030001
1/3/2019 13:03,0.179030001
1/3/2019 13:03,0.179130003
1/3/2019 13:03,0.179130003
1/3/2019 13:03,0.174329996
1/3/2019 13:03,0.174329996
1/3/2019 13:03,0.174329996
1/3/2019 13:03,0.174329996
1/3/2019 13:03,0.174329996
1/3/2019 13:03,0.174329996
